English,Malay
abandon,meninggalkan
ability,keupayaan
able,mampu
abortion,pengguguran
about,kira-kira
abroad,di luar negara
absence,ketiadaan
absolute,mutlak
absolutely,sama sekali
absorb,menyerap
abuse,penyalahgunaan
academic,akademik
accept,menerima
access,akses
accident,kemalangan
accompany,menemani
accomplish,dicapai
according,Menurut
account,akaun
accurate,tepat
accuse,menuduh
achieve,mencapai
achievement,pencapaian
acid,asid
acknowledge,mengakui
acquire,memperoleh
across,di seluruh
act,bertindak
action,tindakan
activist,aktivis
activity,aktiviti
actor,pelakon
actress,pelakon
actual,sebenarnya
actually,sebenarnya
ad,iklan
adapt,menyesuaikan
add,Tambah
addition,tambahan
additional,tambahan
address,alamat
adjust,melaraskan
adjustment,pelarasan
administration,Pentadbiran
administrator,pentadbir
admire,mengagumi
admission,kemasukan
admit,mengaku
adolescent,remaja
adopt,menerima pakai
adult,dewasa
advance,maju
advanced,maju
advantage,Kelebihan
adventure,pengembaraan
advertising,mengiklankan
advice,nasihat
advise,Nasihatkan
adviser,penasihat
advocate,Peguambela
affair,urusan
affect,menjejaskan
afford,mampu
African,Afrika
after,selepasnya.
afternoon,petang
again,sekali lagi
against,terhadap
age,umur
agency,agensi
agenda,agenda
agent,ejen
aggressive,agresif
ago,yang lalu
agree,bersetuju
agreement,perjanjian
agricultural,pertanian.
ah,ah.
ahead,di hadapan
aid,bantuan
aide,Aide
AIDS,bantuan
aim,tujuan
air,Air
aircraft,kapal terbang
airline,Syarikat Penerbangan
airport,lapangan terbang
album,album.
alcohol,alkohol
alive,hidup
all,semua
alliance,Perikatan
allow,membenarkan
ally,sekutu
almost,hampir
alone,sahaja
along,bersama
already,sudah
also,Juga
alter,diubah
alternative,alternatif
although,walaupun
always,sentiasa
AM,Kediamanan
amazing,luar biasa
among,antara
amount,jumlahnya
analysis,analisis
analyst,penganalisis
analyze,menganalisis
ancient,purba
and,dan
anger,kemarahan
angle,sudut
angry,marah
animal,haiwan
anniversary,ulang tahun
announce,mengumumkan
annual,tahunan
another,yang lain
answer,Jawapan
anticipate,menjangka
anxiety,kebimbangan
any,mana-mana
anybody,sesiapa sahaja
anymore,lagi
anyone,sesiapa
anything,apa sahaja
anyway,Bagaimanapun
anywhere,di mana sahaja
apart,Apartment
apartment,Pangsapuri
apparent,jelas
apparently,nampaknya
appeal,rayuan
appear,muncul
appearance,penampilan
apple,epal
application,permohonan
apply,memohon
appoint,melantik
appointment,pelantikan
appreciate,menghargai
approach,pendekatan
appropriate,sesuai
approval,kelulusan
approve,terima
approximately,lebih kurang
Arab,Arab.
architect,arkitek
area,kawasan
argue,argue.
argument,hujah
arise,timbul.
armed,bersenjata
army,tentera
around,sekitar
arrange,mengatur
arrangement,susunan
arrest,Penangkapan
arrival,Ketibaan
arrive,tiba
art,seni
article,artikel
artist,artis
artistic,artistik
as,-
Asian,Asian
aside,selainnya
ask,tanya
asleep,tidur
aspect,aspek
assault,serangan
assert,menegaskan
assess,menilai
assessment,taksiran.
asset,aset
assign,menyerahkan
assignment,tugasan
assist,membantu
assistance,bantuan
assistant,pembantu
associate,bersekutu
association,persatuan
assume,assume.
assure,memberi jaminan
at,di sini
athlete,atlet
athletic,Athletic.
atmosphere,suasana
attach,melampirkan
attack,serang
attempt,percubaan
attend,hadir
attention,perhatian
attitude,sikap
attorney,peguam
attract,tertarik
attractive,menarik
attribute,atribut
audience,penonton
author,pengarang
authority,kuasa
auto,auto.
available,Tersedia
average,purata
avoid,mengelakkan
award,anugerah
aware,menyedari
awareness,kesedaran
away,jauhnya
awful,dahsyat
baby,bayi
back,BACK.
background,latar belakang
bad,Bad
badly,teruk
bag,beg
bake,BAKE
balance,seimbang
ball,bola
ban,Ban
band,band
bank,bank.
bar,bar
barely,Hampir tidak
barrel,barel
barrier,halangan
base,pangkalan
baseball,Baseball
basic,asas
basically,pada dasarnya
basis,asas
basket,bakul
basketball,bola keranjang
bathroom,bilik mandi
battery,bateri
battle,pertempuran
be,akan
beach,pantai
bean,kacang
bear,beranggung
beat,pukulan
beautiful,cantik
beauty,kecantikan
because,kerana.
become,menjadi
bed,tempat tidur
bedroom,bilik tidur
beer,bir
before,sebelum ini
beginning,mulai.
behavior,tingkah laku
behind,di belakang
being,menjadi
belief,percaya
believe,percaya
bell,Bell
belong,milik
below,di bawah
belt,tali pinggang
bench,bangku
bend,bengkok
beneath,di bawah
benefit,memberi manfaat
beside,di tepi
besides,selain daripada
best,Best.
bet,taruhan
better,lebih baik
between,antara
Bible,Bible
big,besar
bike,basikal
bill,bil
billion,bilion
bind,mengikat
biological,biologi
bird,burung
birth,lahir
birthday,hari lahir
bit,bit.
bite,menggigit
black,Hitam
blade,bilah
blame,menyalahkan
blanket,selimut
blind,buta
block,blok
blood,darah
blow,tamparan
blue,Biru
board,papan
boat,bot
body,badan
bomb,bom
bombing,pengeboman
bond,bon
bone,tulang
book,buku
boom,Boom.
boot,boot.
border,sempadan
born,lahir
borrow,meminjam
boss,Boss.
both,kedua-duanya
bother,mengganggu
bottle,botol
bottom,bawah
boundary,sempadan
bowl,bowl.
box,kotak
boy,budak lelaki
boyfriend,teman lelaki
brain,otak
branch,cawangan
brand,Jenama
bread,roti
break,pecah
breakfast,sarapan pagi
breast,payudara
breath,nafas.
breathe,Bernafas
brick,Brick.
bridge,jambatan
brief,ringkas
briefly,secara ringkas
bright,terang
brilliant,brilliant.
bring,membawa
British,British.
broad,luas
broken,pecah
brother,abang
brown,coklat
brush,berus
buck,Buck.
budget,belanjawan
build,membina
building,bangunan
bullet,peluru
bunch,Bunch
burden,beban
burn,terbakar
bury,menguburkan
bus,Bus
business,perniagaan
busy,sibuk
but,Tetapi
butter,mentega
button,butang
buy,beli
buyer,pembeli
by,by.
cabin,kabin
cabinet,Kabinet
cable,kabel
cake,kek
calculate,hitung
call,hubungi
camera,kamera
camp,berkhemah
campaign,kempen
campus,kampus
can,boleh
Canadian,Kanada.
cancer,kanser
candidate,calon
cap,cap
capability,keupayaan
capable,mampu
capacity,kapasiti
capital,modal
captain,kapten
capture,menangkap
car,kereta
carbon,karbon
card,kad.
care,penjagaan
career,kerjaya
careful,berhati-hati.
carefully,berhati-hati
carrier,pembawa
carry,membawa
case,Kes
cash,tunai
cast,pelakonan
cat,kucing
catch,menangkap
category,kategori
Catholic,Katolik
cause,Punca
ceiling,siling
celebrate,meraikannya
celebration,sambutan
celebrity,selebriti
cell,sel
center,pusat
central,pusat
century,abad
CEO,Ketua Pegawai Eksekutif
ceremony,upacara
certainly,Sudah tentu
chain,rantai
chair,kerusi
chairman,pengerusi
challenge,cabaran
chamber,ruang
champion,juara
championship,kejohanan
chance,peluang
change,ubah
changing,menukar
channel,Saluran
chapter,Bab
character,watak
characteristic,ciri
characterize,mencirikannya
charge,caj
charity,amal
chart,carta
chase,mengejar
cheap,murah
check,cek
cheek,pipi
cheese,keju
chef,tukang masak
chemical,bahan kimia
chest,dada
chicken,ayam
chief,ketua
child,kanak-kanak
childhood,zaman kanak-kanak
Chinese,Bahasa Cina
chip,cip
chocolate,coklat
choice,pilihan
cholesterol,kolesterol
choose,Pilih
Christian,Kristian
Christmas,Krismas.
church,gereja
cigarette,rokok
circle,lingkaran
circumstance,keadaan
cite,memetik
citizen,warganegara
city,bandar raya
civil,sivil
civilian,orang awam
claim,tuntutan
class,kelas
classic,klasik
classroom,bilik darjah
clean,bersih
clear,jelas
clearly,jelas
client,pelanggan
climate,iklim
climb,mendaki
clinic,klinik
clinical,klinikal
clock,jam
close,tutup
closely,rapat
closer,lebih dekat
clothes,pakaian
clothing,pakaian
cloud,Awan
club,kelab
clue,petunjuk
cluster,cluster.
coach,jurulatih
coal,arang batu
coalition,gabungan
coast,Pantai
coat,kot
code,kod
coffee,kopi
cognitive,kognitif
cold,Dingin
collapse,runtuh
colleague,rakan sekerja
collect,mengumpul
collection,koleksi
collective,kolektif
college,kolej
colonial,kolonial.
color,warna
column,ruangan
combination,gabungan
combine,Gabung
come,datang
comedy,comedy.
comfort,keselesaan
comfortable,selesa.
command,arahan
commander,komander
comment,komen
commercial,komersial
commission,Suruhanjaya
commit,komit
commitment,komitmen
committee,jawatankuasa
common,biasa
communicate,berkomunikasi
communication,Komunikasi
community,masyarakat
company,syarikat
compare,Bandingkan
comparison,perbandingan
compete,bersaing
competition,pertandingan
competitive,berdaya saing
competitor,pesaing
complain,mengadu
complaint,aduan
complete,lengkap
completely,sepenuhnya
complex,kompleks
complicated,rumit
component,komponen
compose,compose.
composition,komposisi
comprehensive,menyeluruh
computer,komputer
concentrate,menumpukan perhatian
concentration,kepekatan
concept,konsep
concern,kebimbangan
concerned,mengambil berat
concert,konsert.
conclude,membuat kesimpulan
conclusion,kesimpulannya
concrete,konkrit
condition,keadaan
conduct,kelakuan
conference,persidangan
confidence,keyakinan
confident,yakin
confirm,sahkan
conflict,konflik
confront,berhadapan dengannya
confusion,kekeliruan
Congress,Kongres
congressional,Kongres.
connect,sambungkan
connection,sambungan
consciousness,kesedaran
consensus,konsensus.
consequence,akibatnya.
conservative,konservatif
consider,pertimbangkan
considerable,agak banyak
consideration,pertimbangan
consist,terdiri
consistent,konsisten
constant,malar.
constantly,sentiasa
constitute,membentuk
constitutional,perlembagaan
construct,membina
construction,pembinaan
consultant,perunding
consume,makan
consumer,pengguna
consumption,penggunaannya
contact,hubungi
contain,mengandungi
container,bekas
contemporary,kontemporari
content,kandungan
contest,Peraduan
context,konteksnya
continue,teruskan
continued,berterusan
contrast,kontras.
contribute,menyumbang
contribution,sumbangan
control,kawalan
controversial,kontroversi
controversy,kontroversi
convention,Konvensyen
conventional,konvensional.
conversation,perbualan
convert,tukar.
convince,meyakinkan
cook,masak
cookie,cookie.
cooking,memasak
cool,sejuk
cooperation,kerjasama
cop,polis
cope,mengatasinya
copy,salinan
core,teras
corn,jagung
corner,Sudut
corporate,korporat
corporation,Perbadanan
correct,betul
correspondent,wartawan
cost,kos
cotton,kapas
couch,sofa.
could,boleh
council,majlis
counselor,kaunselor
count,mengira
counter,kaunter
country,negara
county,Daerah
couple,pasangan
courage,keberanian
course,kursus
court,Mahkamah
cousin,sepupu
cover,penutup
coverage,liputan
cow,lembu
crack,retak
craft,kraf.
crash,crash.
crazy,gila.
cream,krim
create,Buat
creation,ciptaan
creature,makhluk
credit,Kredit
crew,krew
crime,jenayah
criminal,jenayah
crisis,krisis
criteria,kriteria
critic,pengkritik
critical,kritikal
criticism,kritikan
criticize,mengkritik
crop,potong
cross,menyeberang
crowd,orang ramai
crucial,CRUCIAL
cry,menangis
cultural,budaya
culture,budaya
cup,cawan
curious,ingin tahu
current,semasa
currently,pada masa ini
curriculum,kurikulum
custom,Custom.
customer,pelanggan
cut,potong
cycle,kitaran
dad,ayah
daily,Daily.
damage,kerosakan
dance,menari
danger,bahaya
dangerous,berbahaya
dare,berani
dark,gelap
darkness,kegelapan
data,data
date,Tarikh
daughter,anak perempuan
day,hari
dead,mati
deal,urus niaga
dealer,peniaga
dear,Dear.
death,kematian
debate,perdebatan
debt,hutang
decade,dekad
decide,membuat keputusan
decision,keputusan
deck,deck
declare,mengisytiharkan
decline,penurunan
decrease,penurunan
deep,mendalam
deeply,Deeply.
deer,rusa
defeat,mengalahkan
defend,mempertahankan
defendant,defendan.
defense,pertahanan
defensive,defensif
deficit,defisit.
define,mentakrifkan
definition,definisi
degree,Ijazah
delay,kelewatan
deliver,menyampaikan
delivery,penghantaran
demand,permintaan
democracy,demokrasi
Democrat,Demokrat
democratic,demokratik
demonstrate,menunjukkan
demonstration,demonstrasi
deny,DENGAN
department,Jabatan
depend,bergantung
dependent,bergantung
depending,bergantung
depict,menggambarkan
depression,kemurungan
depth,kedalaman
deputy,timbalan.
derive,berasal
describe,terangkan
description,perihalan
desert,Desert.
deserve,layak
design,reka bentuk
designer,pereka
desire,keinginan
desk,meja
desperate,terdesak
despite,walaupun
destroy,memusnahkan
destruction,pemusnahan
detail,terperinci
detailed,terperinci
detect,mengesan
determine,tentukan
develop,membangunkan
developing,membangunkan
development,pembangunan
device,peranti
devote,menumpukan
dialogue,dialog
die,mati
diet,diet
differ,berbeza.
difference,beza
different,berbeza
differently,berbeza
difficult,sukar
difficulty,kesukaran
dig,dig.
digital,digital.
dimension,Dimensi
dining,Makan
dinner,Makan malam
direct,mengarahkan
direction,arah
directly,secara langsung
director,Pengarah
dirt,kotoran
dirty,kotor
disability,kecacatan
disagree,tidak bersetuju
disappear,hilang
disaster,bencana
discipline,disiplin
discourse,wacana
discover,menemui
discovery,penemuan
discrimination,diskriminasi
discuss,membincangkannya
discussion,perbincangan
disease,penyakit
dish,hidangan
dismiss,menolaknya
disorder,Gangguan
display,dipaparkan
dispute,mempertikaikan
distance,jarak jauh
distant,jauh
distinct,berbeza
distinction,perbezaannya
distinguish,membezakan
distribute,mengedarkan
distribution,pengedaran
district,daerah
diverse,pelbagai
diversity,kepelbagaian
divide,membahagi
division,bahagian
divorce,Perceraian
DNA,DNA.
do,lakukan
doctor,doktor
document,dokumen
dog,anjing
domestic,domestik.
dominant,dominan
dominate,menguasai
door,pintu
double,double.
doubt,ragu-ragu
down,turun
downtown,Downtown.
dozen,dozen.
draft,draf
drag,seretan
drama,drama.
dramatic,dramatik
dramatically,secara dramatik
draw,menarik
drawing,lukisan
dream,mimpi
dress,pakaian
drink,minuman
drive,memandu
driver,pemandu
drop,drop.
drug,dadah
dry,kering
due,kerana
during,semasa
dust,debu
duty,tugasnya
each,masing-masing
eager,bersemangat
ear,Telinga
early,awal
earn,mendapat pendapatan
earnings,pendapatan
earth,Bumi.
ease,kemudahan
easily,dengan mudah
east,timur
eastern,Timur
easy,Mudah.
eat,makan
economic,ekonomi
economics,Ekonomi
economist,ahli ekonomi
economy,ekonomi
edge,hujung
edition,edisi
editor,editor.
educate,mendidik
education,Pendidikan
educational,pendidikan
educator,Pendidik
effect,kesan
effective,berkesan
effectively,berkesan
efficiency,kecekapan
efficient,cekap
effort,usaha
egg,telur
eight,lapan
either,sama ada
elderly,warga tua
elect,memilih
election,Pilihan Raya
electric,Electric.
electricity,elektrik
electronic,Electronic.
element,unsur
elementary,asas
eliminate,menghapuskan
elite,elit
else,lain
elsewhere,di tempat lain
e-mail,E-mel
embrace,peluk
emerge,muncul
emergency,kecemasan
emission,pelepasan
emotion,emosi
emotional,emosi.
emphasis,penekanan
emphasize,menekankan
employ,menggaji
employee,pekerja
employer,majikan
employment,pekerjaan.
empty,kosong
enable,membolehkannya
encounter,bertemu
encourage,menggalakkan
end,akhir
enemy,musuh
energy,tenaga
enforcement,penguatkuasaan
engage,terlibat
engine,enjin
engineer,jurutera
engineering,kejuruteraan
English,Bahasa Inggeris
enhance,meningkatkan
enjoy,Nikmati
enormous,sangat besar
enough,cukup
ensure,memastikan
enter,masuk
enterprise,Enterprise.
entertainment,Hiburan
entire,seluruh
entirely,seluruhnya
entrance,pintu masuk.
environment,persekitaran
environmental,alam sekitar
episode,episod
equal,sama.
equally,sama
equipment,peralatan
era,zaman
error,kesilapan
escape,melarikan diri
especially,terutamanya
essay,esei
essential,penting
essentially,pada asasnya
establish,menubuhkan
establishment,penubuhan
estate,estet
estimate,anggaran
etc,dan lain-lain
ethics,Etika
ethnic,Etnik
European,Eropah
evaluate,menilai
evaluation,Penilaian
even,walaupun
evening,petang
event,acara
eventually,akhirnya
ever,pernah
every,setiap
everybody,semua orang
everyday,setiap hari
everyone,semua orang
everything,semuanya
everywhere,dimana - mana
evidence,Bukti
evolution,evolusi
evolve,berkembang
exact,tepat
exactly,betul-betul
examination,pemeriksaan
examine,memeriksa
example,contohnya
exceed,melebihi
excellent,Cemerlang
except,kecuali
exception,Pengecualian
exchange,pertukaran
exciting,mengujakan
executive,Eksekutif
exercise,senaman
exhibit,Pameran
exhibition,pameran
exist,wujud
existence,kewujudan
existing,sedia ada
expand,berkembang
expansion,pengembangan
expect,menjangkakan
expectation,jangkaan
expense,perbelanjaan
expensive,mahal
experience,pengalaman
experiment,Eksperimen
expert,pakar
explain,terangkan
explanation,Penjelasan.
explode,meletup
explore,meneroka
explosion,letupan
expose,mendedahkan
exposure,dedahan
express,menyatakan
expression,ungkapan
extend,melanjutkan
extension,sambungan
extensive,luas
extent,sejauh mana
external,luaran
extra,Tambahan tambahan
extraordinary,luar biasa
extreme,melampau
extremely,sangat
eye,mata
fabric,kain
face,muka
facility,kemudahan
fact,fakta
factor,faktor
factory,kilang
faculty,Fakulti
fade,pudar
fail,gagal
failure,kegagalan
fair,adil
fairly,adil
faith,iman
fall,jatuh
FALSE,SALAH
familiar,biasa
family,keluarga
famous,terkenal
fan,Fan.
fantasy,fantasi
far,jauh
farm,ladang
farmer,petani
fashion,fesyen
fast,FAST.
fat,lemak
fate,nasib
father,bapa
fault,Kesalahan
favor,nikmat
favorite,kegemaran
fear,takut
feature,ciri
fee,Bayaran
feed,memberi makan
feel,Rasa
feeling,perasaan
fellow,rakan
female,perempuan
fence,pagar
few,beberapa
fewer,kurang
fiber,serat
fiction,FICTION.
field,bidang
fifteen,lima belas
fifth,kelima
fifty,lima puluh
fight,berjuang
fighter,pejuang
fighting,berjuang
figure,angka
file,fail
fill,isikan
film,filem
final,Akhirnya
finally,Akhirnya
finance,kewangan
financial,kewangan
find,cari
finding,mencari
fine,denda
finger,jari
finish,selesai
fire,api
firm,tegas
first,pertama
fish,ikan
fishing,memancing
fit,sesuai
fitness,kecergasan
five,lima.
fix,menetapkan
flag,bendera
flame,api
flat,rata
flavor,rasa
flee,melarikan diri
flight,penerbangan
float,Float.
floor,lantai
flow,mengalir
flower,bunga
fly,terbang
focus,Fokus
folk,rakyat
follow,berikutnya
following,berikut.
foot,kaki
football,bola sepak
for,untuk
force,memaksa
foreign,wartawan
forest,Hutan
forever,selamanya
forget,lupakan
form,bentuk
formal,rasmi
formation,pembentukan
former,bekas
formula,Formula.
forth,Forth.
fortune,FORTUNE.
forward,ke hadapan
found,dijumpai
foundation,Yayasan
founder,pengasas
four,empat.
fourth,Keempat
frame,bingkai
framework,Rangka Kerja.
freedom,kebebasan
freeze,membeku
French,Bahasa Perancis
frequency,kekerapan
frequent,kerap
frequently,kerap
fresh,segar.
friend,kawan
friendly,ramah
friendship,persahabatan
from,dari
front,depan
fruit,Buah
frustration,kekecewaan
fuel,bahan api
full,penuh
fully,sepenuhnya
fun,Fun.
function,fungsi
fund,dana
fundamental,fundamental.
funding,pembiayaan
funeral,pengebumian
funny,lucu
furniture,perabot
furthermore,Tambahan pula
future,masa depan
gain,keuntungan
galaxy,Galaxy.
gallery,galeri
game,Permainan
gang,geng
gap,gap.
garage,garaj
garden,taman
garlic,bawang putih
gas,gas
gate,pintu gerbang
gather,berkumpul
gay,gay.
gaze,pandangan
gear,gear.
gender,jantina
gene,Gen.
general,am
generally,Secara amnya
generate,menjana
generation,generasi
genetic,genetik
gentleman,lelaki
gently,perlahan-lahan
German,Jerman
gesture,isyarat
get,get.
ghost,hantu
giant,gergasi
gift,hadiah
gifted,berbakat
girl,Gadis
girlfriend,teman wanita
give,memberi
given,diberikan
glad,gembira
glance,pandangan
glass,kaca.
global,Global.
glove,sarung tangan
go,pergi
goal,Matlamat
God,Tuhan
gold,emas
golden,keemasan
golf,golf
good,baik
government,kerajaan
governor,gabenor
grab,Grab.
grade,gred
gradually,beransur-ansur
graduate,graduan
grain,bijirin
grand,besar
grandfather,datuk
grandmother,nenek
grant,geran
grass,rumput
grave,kubur
gray,kelabu
great,Great.
greatest,paling banyak
green,hijau
grocery,kedai runcit
ground,tanah
group,kumpulan
grow,berkembang
growing,berkembang
growth,pertumbuhan
guarantee,jaminan
guard,pengawal
guess,meneka
guest,Tetamu
guide,panduan
guideline,garis panduan
guilty,bersalah
gun,senapang
guy,lelaki
habit,kebiasaan
habitat,habitat
hair,Rambut
half,separuh
hall,dewan
hand,tangan
handful,genggam
handle,mengendalikan
hang,gantung
happen,berlaku
happy,gembira
hard,keras
hardly,Hampir tidak
hat,HAT.
hate,benci
have,telah
he,beliau
head,kepala
headline,tajuk utama
headquarters,ibu pejabat
health,kesihatan
healthy,sihat
hear,dengar
hearing,pendengaran
heart,hati
heat,haba
heaven,surga
heavily,sangat
heavy,Berat
heel,Heel.
height,Ketinggian
helicopter,helikopter.
hell,neraka
hello,hello.
help,bantuan
helpful,membantu
her,dia
here,di sini
heritage,warisan
hero,Hero.
herself,dirinya sendiri.
hey,Hey
hi,hi.
hide,bersembunyi
high,tinggi
highlight,menyerlahkan
highly,Hebatnya
highway,Lebuhraya
hill,bukit
him,dia
himself,dirinya sendiri
hip,hip.
hire,sewa
his,beliau
historian,ahli sejarah
historic,bersejarah
historical,sejarah
history,Sejarah
hit,memukul
hold,HOLD.
hole,lubang
holiday,percutian
holy,suci
home,rumah
homeless,tiada tempat tinggal
honest,jujur
honey,madu
honor,penghormatan
hope,Hope.
horizon,horizon
horse,kuda.
hospital,hospital
host,tuan rumah
hot,panas
hotel,Hotel
hour,jam
house,rumah
household,isi rumah
housing,Perumahan
how,","
however,Walau bagaimanapun
huge,besar
human,manusia
humor,humor.
hungry,lapar
hunter,pemburu
hunting,memburu
hurt,sakit
husband,suami
hypothesis,hipotesis
I,I.
ice,ais
idea,idea
ideal,Ideal
identification,pengenalan
identify,kenal pasti
identity,identiti
ie,iaitu
if,sekiranya
ignore,abai
ill,buruk
illegal,haram
illness,penyakit
image,imej
imagination,imaginasi
imagine,bayangkan
immediate,segera
immediately,segera
immigrant,imigran
immigration,imigresen
impact,kesannya
implement,melaksanakan
implication,implikasi
imply,menyiratkan
importance,kepentingannya
important,penting
impose,dikenakan
impossible,mustahil
impress,mengesankan
impression,kesannya
improve,bertambah baik
improvement,pembaikan
in,di dalam
incentive,insentif
incident,kejadian
include,termasuk
including,termasuk
income,pendapatan
incorporate,menggabungkan
increase,meningkat
increased,meningkat
increasing,meningkat
increasingly,semakin banyak
incredible,luar biasa
indeed,sesungguhnya
independence,Kemerdekaan
independent,bebas
index,index.
Indian,Indian
indicate,menunjukkan
indication,petunjuk
individual,individu.
industrial,perindustrian
industry,industri
infant,bayi.
infection,jangkitan
inflation,inflasi.
influence,pengaruh
inform,memberitahu
information,maklumat
ingredient,bahan
initial,awal
initially,pada mulanya.
initiative,inisiatif
injury,kecederaan
inner,batin
innocent,tidak bersalah
inquiry,siasatan
inside,dalam
insight,Insight
insist,menegaskan
inspire,memberi inspirasi
install,Pasang
instance,contohnya.
instead,sebaliknya
institution,institusi
institutional,institusi
instruction,arahan
instructor,pengajar
instrument,alat
insurance,insurans
intellectual,intelektual
intelligence,kecerdasan
intend,berniat
intense,tegang
intensity,keameran
intention,niat
interaction,interaksi
interest,minat
interested,berminat
interesting,menarik
internal,dalaman
international,International.
Internet,Internet
interpret,mentafsir.
interpretation,tafsiran
intervention,campur tangan
interview,wawancara
into,ke dalam
introduce,memperkenalkan
introduction,pengenalan
invasion,pencerobohan
invest,melabur
investigate,menyiasat
investigation,siasatan
investigator,penyiasat.
investment,pelaburan
investor,pelabur
invite,jemputan
involve,melibatkan diri
involved,terbabit
involvement,penglibatan
Iraqi,Iraq.
Irish,Ireland
iron,Iron
Islamic,Islam
island,pulau
Israeli,Israel
issue,isu
it,ia
Italian,Bahasa Itali
item,Item
its,iaitu
itself,sendiri
jacket,jaket
jail,penjara
jet,jet
Jew,Yahudi
Jewish,Yahudi
job,kerja
join,Sertai
joint,bersama
joke,jenaka
journal,jurnal
journalist,wartawan
journey,perjalanan
joy,Joy.
judge,Hakim
juice,jus
jump,melompat
junior,Junior
jury,juri
just,hanya
justice,keadilan
justify,justify.
keep,menyimpan
key,kekunci
kick,Kick.
kid,anak lelaki
kill,bunuh
killer,pembunuh
