English,Malay
killing,membunuh
kind,jenis
king,raja
kiss,ciuman
kitchen,dapur
knee,lutut
knife,pisau
knock,mengetuk
know,tahu
knowledge,pengetahuan
lab,lab
label,label
labor,Buruh
laboratory,makmal
lack,kekurangan
lady,wanita
lake,Tasik
land,tanah
landscape,landskap.
language,bahasa.
lap,lap
large,besar
largely,sebahagian besarnya
last,terakhir
late,terlambat
later,kemudian
Latin,Latin.
latter,yang terakhir
laugh,ketawa
launch,pelancaran
law,undang-undang
lawn,rumput.
lawsuit,undang-undang
lawyer,peguam
lay,letakkan
layer,lapisan
lead,memimpin
leader,Ketua
leadership,kepimpinan
leading,mengetuai
leaf,daun
league,liga
lean,bersandar
learn,belajar
learning,belajar
least,paling sedikit
leather,kulit
leave,biarkan
left,meninggalkan
leg,kaki
legacy,warisan
legal,undang-undang
legend,legenda
legislation,undang-undang
legitimate,sah
lemon,lemon
length,panjangnya
less,kurang
lesson,pelajaran
let,beritahu
letter,surat
level,tahap
liberal,Liberal.
library,perpustakaan
license,lesen
lie,berbohong
life,hidup
lifestyle,cara hidup
lifetime,seumur hidup
lift,lif
light,cahaya.
like,suka
likely,mungkin
limit,had
limitation,Batasan
limited,terhad
line,baris
link,pautan
lip,bibir
list,senarai
listen,mendengar
literally,secara harfiah
literary,sastera.
literature,kesusasteraan
live,hidup
living,tinggal
load,beban
loan,pinjaman
local,tempatan
locate,mencari
location,lokasi
lock,mengunci
long,LONG
long-term,jangka panjang
look,lihatlah
loose,longgar
lose,kalah
loss,kehilangan
lost,hilang
lot,banyak
loud,kuat
love,suka
lovely,indah
lover,kekasih
low,rendah
lower,lebih rendah
luck,nasib
lucky,Lucky.
lunch,Makan tengah hari
lung,Lung
machine,mesin
mad,MAD.
magazine,majalah
mail,mel
main,utama
mainly,terutamanya
maintain,mengekalkannya
maintenance,penyelenggaraan
major,utama
majority,majoriti
make,buat
maker,pembuat
makeup,solek
male,lelaki
mall,pusat membeli-belah
man,lelaki
manage,mengurus
management,Pengurusan
manager,pengurus
manufacturer,pengilang
manufacturing,pembuatan
many,banyak orang
map,peta
margin,margin
market,pasaran
marketing,Pemasaran
marriage,perkahwinan
married,berkahwin
marry,kahwin
mask,topeng
mass,jisim
massive,besar-besaran
master,master
match,perlawanan
material,bahan
math,Matematik
matter,perkara
may,mungkin
maybe,mungkin
mayor,Datuk Bandar
me,saya
meal,makanan
mean,bermakna
meaning,makna.
meanwhile,Sementara itu
measure,mengukur
measurement,pengukuran
meat,daging
mechanism,mekanisme
media,media
medical,perubatan
medication,ubat.
medicine,ubat
medium,medium.
meet,bertemu
meeting,mesyuarat
member,ahli
membership,keahlian
memory,ingatan
mental,mental
mention,menyebut
menu,Menu
mere,semata-mata
merely,hanya
mess,keadaan huru-hara
message,Mesej
metal,logam
method,kaedah
Mexican,Mexico
middle,tengah
might,MIGHT
military,tentera
milk,susu
million,juta
mind,fikiran
mine,mine.
minister,Menteri
minor,kecil
minority,minoriti
minute,minit
miracle,mukjizat
mirror,cermin
miss,terlepas
missile,peluru berpandu
mission,misi
mistake,kesilapan
mix,bercampur
mixture,campuran
mm-hmm,mm-hmm.
mode,mode.
model,model
moderate,sederhana.
modern,moden
modest,sederhana.
mom,Ibu
moment,masa
money,wang
monitor,memantau
month,bulan
mood,mood
moon,bulan
moral,moral
more,lebih lanjut
moreover,lebih-lebih lagi
morning,Pagi
mortgage,gadai janji
most,paling
mostly,kebanyakannya
mother,ibu
motion,gerakan
motivation,motivasi
motor,motor
mount,Gunung
mountain,Gunung
mouse,Tetikus
mouth,mulut.
move,Pindah
movement,pergerakan
movie,filem.
Mr,Encik
Mrs,Puan
Ms,Cik
much,banyak
multiple,pelbagai
murder,pembunuhan
muscle,otot
museum,muzium
music,muzik
musical,Musikal
musician,pemuzik
Muslim,Muslim.
must,mesti
mutual,bersama
my,my
myself,saya sendiri
mystery,misteri
myth,mitos
naked,telanjang
name,nama
narrative,naratif
narrow,sempit
nation,negara
national,Nasional
native,Native.
natural,semula jadi.
naturally,secara semula jadi
nature,alam semula jadi
near,berhampiran
nearby,berhampiran
nearly,hampir
necessarily,semestinya
necessary,perlu
neck,leher
need,keperluan
negative,negatif
negotiate,berunding
negotiation,rundingan
neighbor,jirannya
neighborhood,kejiranan
neither,tidak
nerve,saraf
nervous,gugup.
net,bersih
network,rangkaian
never,tidak pernah
nevertheless,Walau bagaimanapun
new,baru
newly,baru sahaja
news,Berita
newspaper,akhbar
next,Seterusnya
nice,bagus
night,malam
nine,sembilan
no,Tidak
nobody,tiada siapa
nod,nod
noise,bunyi bising
nomination,pencalonan
none,tiada
nonetheless,Walau bagaimanapun
nor,juga
normal,normal
north,utara
northern,utara
nose,hidung
not,tidak
note,catatan
nothing,tiada apa-apa
notice,notis
notion,tanggapan
novel,novel.
now,Sekarang
nowhere,tidak ada tempat
n't,tidak
nuclear,nuklear
number,nombor
numerous,banyak
nurse,jururawat
nut,kacang
object,objek
objective,Objektif
obligation,kewajipan
observation,pemerhatian
observe,perhatikan
observer,Observer.
obtain,memperolehi
obvious,jelas
obviously,jelasnya
occasion,majlis
occasionally,kadang-kadang
occupation,pekerjaan
occupy,menduduki
occur,berlaku
ocean,laut
odd,ganjil
odds,ODDS.
of,of.
off,off
offense,kesalahan
offensive,menyinggung perasaan
offer,tawaran
office,pejabat
officer,pegawai
official,rasmi.
often,seringkali
oh,Oh
oil,minyak
ok,okey
okay,baik
old,tua
Olympic,Olimpik
on,pada
once,sekali
one,satu
ongoing,berterusan
onion,bawang
online,dalam talian
only,sahaja
onto,ke arah
open,buka
opening,membuka
operate,beroperasi
operating,beroperasi
operation,operasi
operator,operator
opinion,pendapat
opponent,lawan
opportunity,peluang
oppose,menentang
opposite,sebaliknya
opposition,pembangkang
option,pilihan
or,atau
orange,Orange.
ordinary,biasa
organic,organik
organization,organisasi
organize,menyusun
orientation,orientasi
origin,asal
original,asal
originally,asalnya
other,lain
others,yang lain
otherwise,sebaliknya
ought,sepatutnya
our,kami
ourselves,diri kita.
out,keluar
outcome,hasilnya
outside,di luar
oven,ketuhar
over,lebih
overall,secara keseluruhan
overcome,diatasi
overlook,terlepas pandang
owe,berhutang
own,sendiri
owner,pemiliknya
pace,pace.
pack,pek
package,pakej
page,PAGE
pain,sakit
painful,menyakitkan
paint,cat.
painter,pelukis
painting,lukisan
pair,pasangan
pale,pucat
Palestinian,Palestin.
palm,Palm.
pan,pan
panel,panel
pant,pantan
paper,kertas
parent,ibu bapa
park,Park.
parking,tempat letak kenderaan
part,bahagian.
participant,peserta
participate,mengambil bahagian
participation,penyertaan
particular,khususnya
particularly,terutamanya
partly,sebahagiannya
partner,rakan kongsi
partnership,perkongsian
party,parti
pass,lulus
passage,laluan
passenger,penumpang
passion,semangat
past,masa lalu
patch,patch
path,jalan
patient,pesakit
pattern,corak
pause,Jeda
pay,bayar
payment,pembayaran
PC,PC.
peace,keamanan
peak,puncak
peer,rakan sebaya
penalty,penalti
people,orang ramai
pepper,lada
per,per.
perceive,merasakan
percentage,peratusan
perception,persepsi
perfect,sempurna
perfectly,Sempurna
perform,melakukan
performance,prestasi
perhaps,mungkin
period,tempoh
permanent,kekal
permission,kebenaran
permit,permit
person,orang
personal,Peribadi
personality,personaliti.
personally,secara peribadi
personnel,kakitangan
perspective,perspektif
persuade,memujuk
pet,Pet.
phase,Fasa
phenomenon,fenomena
philosophy,falsafah.
phone,telefon
photo,foto
photograph,Gambar
photographer,juru gambar
phrase,ungkapan
physical,fizikal
physically,secara fizikal
physician,doktor
piano,piano.
pick,Pilih
picture,gambar
pie,pai
piece,sekeping
pile,timbunan
pilot,juruterbang
pine,pinus
pink,merah jambu
pipe,paip
pitch,padang
place,tempat
plan,merancang
plane,pesawat
planet,planet
planning,merancang
plant,tumbuhan
plastic,plastik
plate,plat
platform,platform
play,Bermain
please,sila
pleasure,keseronokan
plenty,banyak
plot,plot
plus,tambah
PM,PM.
pocket,Pocket.
poem,puisi
poet,penyair
poetry,Puisi
point,titik
pole,tiang
police,polis
policy,dasar
political,politik
politically,secara politik
politician,ahli politik
politics,politik
poll,Pungutan suara
pollution,pencemaran
pool,kolam renang
poor,miskin
pop,Pop.
popular,popular
population,penduduknya
porch,anjung
port,pelabuhan
portion,bahagian
portrait,potret
portray,menggambarkan
pose,berpose
position,kedudukannya
positive,positif
possess,mempunyai
possibility,Kemungkinan
possible,mungkin
possibly,kemungkinan
post,siaran
pot,pot.
potato,kentang
potential,berpotensi
potentially,berpotensi
pound,pound.
pour,tuangkan
poverty,kemiskinan
powder,serbuk
power,kuasa
powerful,berkuasa
practical,praktikal
practice,berlatih
pray,Berdoalah
prayer,doa
precisely,tepat
predict,meramalkan
prefer,lebih suka
preference,pilihan
pregnancy,kehamilan
preparation,penyediaan
prepare,menyediakan
prescription,preskripsi
presence,kehadiran
present,hadir
presentation,persembahan
preserve,memelihara
president,Presiden
presidential,presiden
press,Tekan
pressure,tekanan
pretend,berpura-pura
pretty,cantik
prevent,mengelakkan
previous,Sebelumnya
previously,sebelum ini
price,harga
pride,kebanggaan
priest,imam
primarily,terutamanya
primary,Rendah.
prime,Perdana pun
principal,pengetua
principle,prinsip
print,cetak
prior,sebelum ini
priority,keutamaan
prison,penjara
prisoner,banduan
privacy,Privasi
private,swasta
probably,Mungkin
problem,masalah
procedure,prosedur
proceed,meneruskan
process,proses
produce,menghasilkan
producer,penerbit
product,produk
production,pengeluaran
profession,profesion
professional,profesional
professor,profesor
profile,profil
profit,keuntungan
program,program
progress,kemajuan
project,projek
prominent,menonjol
promise,Janji
promote,mempromosikan
prompt,meminta
proof,bukti
proper,betul
properly,betul
property,harta
proportion,perkadaran
proposal,cadangan
propose,mencadangkan
proposed,dicadangkan
prosecutor,pendakwa
prospect,prospek
protect,melindungi
protein,protein.
protest,Protes.
proud,bangga
prove,membuktikan
provide,menyediakan
provider,pembekal
province,wilayah
provision,peruntukan
psychological,psikologi
psychologist,ahli psikologi
psychology,psikologi
public,awam
publication,penerbitan
publicly,secara terbuka
publish,menerbitkan
publisher,penerbit
pull,tarik
punishment,hukuman
purchase,pembelian.
pure,murni.
purpose,tujuan
pursue,mengejar
push,tolak
put,letak
qualify,layak
quality,kualiti
quarter,suku tahun
quarterback,Quarterback.
question,mempersoalkan
quick,cepat
quickly,Cepat
quiet,senyap
quietly,secara senyap-senyap
quit,berhenti
quite,Cik
quote,petikan
race,bangsa
racial,kaum.
radical,radikal
radio,radio
rail,kereta api
rain,hujan
raise,kenaikan harga
range,julatnya
rank,pangkat
rapid,RAPID.
rapidly,dengan cepat
rare,jarang berlaku
rarely,jarang
rate,kadar
rather,sebaliknya
rating,penarafan
ratio,nisbah
raw,mentah
reach,REACH
react,bertindak
reaction,reaksi
read,Baca
reader,pembaca
reading,bacaan
ready,siap
real,Real
reality,realiti
realize,sedar
really,benar
reason,Alasannya
reasonable,munasabah
recall,ingatlah
receive,menerima
recent,terkini
recently,Baru-baru ini
recipe,resipi
recognition,pengiktirafan
recognize,mengiktiraf
recommend,mengesyorkan
recommendation,cadangan
record,rekod
recording,rakaman
recover,pulih
recovery,pemulihan
recruit,rekrut
red,Red.
reduce,mengurangkan
reduction,pengurangan
refer,merujuk
reference,Rujukan
reflect,mencerminkan
reflection,refleksi
reform,pembaharuan
refugee,pelarian
refuse,menolak
regarding,mengenai
regime,rejim
region,kawasan
regional,Regional
register,mendaftar
regular,Regular
regularly,kerap
regulate,mengawal selia
regulation,peraturan
reinforce,mengukuhkan
reject,menolak
relate,dikaitkan.
relation,hubungannya
relationship,hubungan
relative,relatif
relatively,relatif
release,melepaskannya
relevant,berkaitan
relief,kelegaan
religion,agama
religious,agama
rely,bergantung
remain,kekal
remaining,yang tinggal
remarkable,luar biasa
remember,Ingat
remind,ingat
remote,Remote.
remove,keluarkan
repeat,ulangi
repeatedly,berulang kali
replace,menggantikannya
reply,Balas
report,melaporkan
reporter,wartawan
represent,mewakili
representation,perwakilan
representative,wakil
Republican,Republikan
reputation,reputasi
request,permintaan
require,memerlukan
requirement,keperluan
research,penyelidikan
researcher,penyelidik
resemble,menyerupai
reservation,Tempahan
resident,bermastautin
resist,menentang
resistance,rintangan
resolution,resolusi
resolve,selesaikan
resort,resort.
resource,sumber
respect,hormat
respond,membalas
respondent,responden.
response,tindak balas
responsibility,tanggungjawab
responsible,bertanggungjawab
rest,rehat
restaurant,restoran
restore,memulihkan
restriction,sekatan
result,hasilnya
retain,Kekalkan
retire,bersara
retirement,bersara
return,kembali
reveal,mendedahkannya
revenue,pendapatan
review,ulasan
revolution,revolusi
rhythm,Rhythm.
rice,beras
rich,kaya
rid,melepaskan
ride,menaiki
rifle,rifle.
right,hak
ring,cincin
rise,kenaikan
risk,Risiko
river,sungai
road,jalan raya
role,peranan
roll,gulung
roof,bumbung
root,akar.
rope,tali
rose,Rose
rough,kasar
roughly,kira-kira
round,pusingan
route,laluan
routine,rutin
row,baris
rub,RUB.
rule,peraturan
run,lari
running,berjalan.
rural,luar bandar
rush,tergesa-gesa.
Russian,Rusia.
sacred,Sacred.
sad,sedih
safe,selamat
safety,Keselamatan
sake,demi
salad,salad
salary,gaji
sale,jualan
sales,jualan
salt,garam
same,sama
sample,sampel
sanction,sanksi
sand,pasir
satellite,satelit
satisfaction,kepuasan
satisfy,memuaskan hati
sauce,saus
save,JIMAT
saving,menjimatkan
say,katakan
scale,skala
scandal,skandal
scared,takut
scenario,senario
scene,adegan
schedule,Jadual
scheme,skim
scholar,ulama
scholarship,biasiswa.
school,sekolah
science,sains
scientific,saintifik
scientist,saintis
scope,skop
score,skor
scream,menjerit
screen,Skrin
script,skrip.
sea,laut
search,cari
season,musim
second,kedua
secret,rahsia
secretary,setiausaha
section,bahagian
sector,sektor
secure,selamat
security,keselamatan
see,lihat
seed,benih
seek,cari
seem,nampaknya
segment,segmen
seize,merampas
select,Pilih
selection,pilihan
self,diri sendiri
sell,menjual
Senate,Senat
senator,Senator
send,hantar
senior,senior
sense,rasa
sensitive,sensitif
sentence,ayat
separate,berasingan
sequence,urutan
series,siri
serious,serius
seriously,serius
serve,hidang
service,perkhidmatan
session,sesi
set,ditetapkan
setting,persekitaran
settle,menetap
settlement,Penyelesaian
seven,tujuh
several,beberapa
severe,teruk
sex,seks
sexual,seksual
shade,naungan
shadow,bayang-bayang
shake,goncang
shall,hendaklah
shape,bentuk
share,berkongsi
sharp,tajam
she,dia
sheet,lembaran
shelf,rak
shell,shell.
shelter,tempat perlindungan
shift,Shift.
shine,bersinar
shirt,baju
shit,Shit.
shock,terkejut
shoe,kasut
shoot,menembak
shooting,menembak
shop,kedai
shopping,Membeli-belah
shore,Pantai
short,pendek
shortly,Tidak lama lagi
shot,Ditembak
should,sepatutnya
shoulder,bahu
shout,Shout.
show,tunjukkan
shower,mandi
shrug,shrug
shut,ditutup
sick,sakit
side,sebelah
sigh,mengeluh
sight,penglihatan
sign,tanda
signal,isyarat
significance,pentingnya
significant,penting
significantly,dengan ketara
silence,kesunyian
silent,senyap
silver,perak
similar,serupa
similarly,Begitu juga
simple,mudah
simply,semata-mata
sin,sin.
since,sejak
sing,menyanyi
singer,penyanyi
single,tunggal
sink,tenggelam
sir,Tuan
sister,kakak
sit,duduk
site,tapak
situation,keadaan
six,enam
size,saiz
ski,Ski.
skill,kemahiran
skin,kulit
sky,langit
slave,hamba
sleep,tidur
slice,keping.
slide,gelongsor
slight,sedikit
slightly,sedikit
slip,tergelincir
slow,lambat.
slowly,perlahan-lahan
small,kecil
smart,pintar
smell,bau
smile,senyum
smoke,asap
smooth,licin.
snap,snap.
snow,salji
so,So.
so-called,apa yang dipanggil
soccer,Bola Sepak
social,Sosial.
society,masyarakat
soft,lembut
software,perisian
soil,tanah
solar,solar.
soldier,askar
solid,pepejal
solution,penyelesaian
solve,selesaikan
somebody,seseorang
somehow,entah bagaimana
someone,seseorang
something,sesuatu
sometimes,kadang-kadang
somewhat,agak
somewhere,di suatu tempat
son,anak lelaki
song,lagu
soon,tidak lama lagi
sophisticated,canggih.
sorry,maaf
sort,Isikan
soul,jiwa.
sound,bunyi
soup,sup
source,sumber
south,selatan
southern,selatan
Soviet,Soviet
space,ruang
Spanish,Bahasa Sepanyol
speak,bercakap
speaker,Speaker.
special,istimewa
specialist,pakar.
species,spesies.
specific,spesifik
specifically,khususnya
speech,ucapannya
speed,kelajuan
spend,membelanjakannya
spending,perbelanjaan
spin,Spin.
spirit,Roh
spiritual,rohani
split,berpecah
spokesman,jurucakap
sport,sukan
spot,tempat
spring,Spring.
square,persegi
squeeze,memerah
stability,kestabilan
stable,stabil
staff,kakitangan
stage,pentas
stair,tangga
stake,saham
stand,berdiri
standard,standard.
standing,berdiri
star,bintang
stare,stare.
start,bermula
state,Nyatakan
statement,kenyataan
station,stesen
statistics,statistik
stay,tinggal
steal,mencuri
steel,keluli
step,langkah
stick,melekat
still,masih ada
stir,kacau
stock,stok
stomach,perut
stone,batu
stop,berhenti
storage,penyimpanan
store,kedai
storm,STORM.
story,cerita
straight,lurus
strange,aneh
stranger,orang asing
strategic,strategik
strategy,strategi
stream,sungai
street,Jalan
strength,kekuatan
strengthen,menguatkan
stress,tekanan
stretch,meregangkan
strike,mogok
strip,Strip
stroke,strok
strong,kuat
strongly,kuat
structure,struktur
struggle,perjuangan
student,pelajar
studio,studio
study,belajar
stuff,barang-barang
stupid,bodoh
style,gaya
subject,subjek
subsequent,selepas itu
substance,bahan
substantial,Substantial.
succeed,berjaya
success,kejayaan
successful,berjaya
successfully,berjaya
such,>> >>
sudden,tiba-tiba
suddenly,tiba-tiba
sue,Sue.
suffer,menderita
sufficient,cukup
sugar,gula
suggest,cadangkan
suggestion,cadangan
suicide,bunuh diri
suit,sesuai
summer,musim panas
summit,sidang kemuncak
sun,matahari
super,Super.
supply,bekalan
support,sokongan
supporter,penyokong
suppose,Katakanlah
supposed,sepatutnya
Supreme,Supreme.
sure,pasti
surely,Sudah tentu
surface,Surface.
surgery,pembedahan
surprise,mengejutkan
surprised,terkejut
surprising,mengejutkan
surprisingly,mengejutkan
surround,mengelilingi
survey,tinjauan
survival,Survival.
survive,bertahan
survivor,Survivor.
suspect,suspek
sustain,mengekalkan
swear,bersumpah
sweep,menyapu.
sweet,manis
swim,berenang
swing,hayun
switch,suis.
symbol,simbol
symptom,Gejala
system,sistem
table,jadual
tablespoon,sudu besar
tactic,taktik
tail,ekor
take,ambil
tale,kisah
talent,bakat
talk,bercakap
tall,tinggi
tank,tangki
tap,ketik
tape,pita
target,sasaran
task,tugas
taste,rasa
tax,Cukai
taxpayer,pembayar cukai
tea,teh
teach,mengajar
teacher,guru
teaching,mengajar
team,pasukan
tear,merobek
teaspoon,sudu teh
technical,teknikal
technique,teknik
technology,teknologi
teen,remaja
teenager,remaja
telephone,telefon
telescope,Teleskop.
television,televisyen
tell,beritahu
temperature,Suhu
temporary,Sementara
ten,sepuluh.
tend,cenderung
tendency,kecenderungan
tennis,Tenis
tension,ketegangan
tent,khemah
term,istilah
terms,Terma
terrible,dahsyat
territory,wilayah
terror,keganasan
terrorism,Keganasan
terrorist,pengganas
test,test
testify,testifikasi
testimony,Kesaksian
testing,ujian
text,teks
than,daripada
thank,terima kasih
thanks,terima kasih
that,itu
the,the
theater,teater
their,mereka
them,mereka
theme,tema
themselves,diri sendiri
then,Kemudian
theory,teori.
therapy,terapi
there,di sana
therefore,Oleh itu
these,ini
they,mereka
thick,tebal
thin,tipis
thing,benda itu
think,berfikir
third,Ketiga
thirty,tiga puluh
this,Ini
those,mereka
though,walaupun
thought,difikirkannya
thousand,seribu
threat,ancaman
threaten,mengancam
three,tiga.
throat,tekak
through,melalui
throughout,melalui
throw,membaling
thus,Jadi
ticket,Tiket
tie,tie.
tight,ketat
time,masa
tiny,kecil
tip,tip
tire,tayar
tired,letih
tissue,tisu
title,tajuk.
to,ke
tobacco,tembakau
today,hari ini
toe,toe.
together,bersama
tomato,tomato.
tomorrow,esok
tone,nada
tongue,lidah
tonight,Malam ini
too,juga
tool,alat
tooth,gigi
top,teratas
topic,Topik.
toss,lambung
total,jumlahnya
totally,sama sekali
touch,sentuh
tough,sukar
tour,pelancongan
tourist,pelancong
tournament,kejohanan
toward,ke arah
towards,ke arah
tower,menara
town,bandar.
toy,mainan
trace,trace.
track,trek
trade,Perdagangan
tradition,tradisi
traditional,Tradisi
traffic,trafik
tragedy,tragedi
trail,jejak
train,melatih
training,latihan
transfer,pemindahan
transform,mengubah
transformation,transformasi
transition,peralihan
translate,Terjemah.
transportation,Pengangkutan
travel,perjalanan
treat,merawat
treatment,rawatan
treaty,Perjanjian
tree,pokok
tremendous,sangat besar
trend,trend
trial,Percubaan
tribe,suku tahun
trick,menipu
trip,perjalanan
troop,tentera
trouble,masalah
truck,Lori
truly,Sesungguhnya
trust,amanah
truth,kebenaran
try,cuba
tube,tiub.
tunnel,terowong.
turn,berpaling
TV,TV
twelve,dua belas tahun
twenty,dua puluh
twice,dua kali
twin,Twin.
two,dua orang
type,type.
typical,tipikal.
typically,biasanya
ugly,Ugly.
ultimate,Ultimate.
ultimately,akhirnya
unable,tidak dapat
uncle,paman
under,di bawah
undergo,Malaysia
understand,faham
understanding,memahami
unfortunately,Malangnya
uniform,seragam
union,kesatuan
unique,unik
unit,unit
United,United
universal,sejagat
universe,Alam semesta
university,Universiti.
unknown,tidak diketahui
unless,kecuali
unlike,tidak seperti
unlikely,tidak mungkin
until,Sehingga
unusual,yang luar biasa
up,up.
upon,pada
upper,atas
urban,bandar
urge,menggesa
us,kami
use,gunakan
used,digunakan
useful,berguna
user,pengguna
usual,biasa
usually,biasanya
utility,Utiliti
vacation,percutian
valley,lembah
valuable,berharga
value,nilai
variable,pembolehubah
variation,Variasi
variety,pelbagai
various,pelbagai
vary,bervariasi
vast,luas
vegetable,sayuran
vehicle,kenderaan
venture,usaha
version,versi
versus,lawan
very,Sangat
vessel,kapal
veteran,veteran
via,melalui
victim,mangsa
victory,kemenangan
video,video.
view,pandangan
viewer,penonton
village,kampung
violate,melanggar
violation,pelanggaran
violence,keganasan
virtually,Hampir
virtue,kebajikan
visible,boleh dilihat.
vision,wawasan
visit,melawat
visitor,pelawat
visual,visual
vital,Vital.
voice,Suara
volume,jumlah
volunteer,Sukarelawan
vote,undi
voter,pengundi
vs,vs.
vulnerable,terdedah
wage,upah
wait,tunggu
wake,bangun
walk,Jalan
wall,dinding
wander,bersiar-siar
want,mahu
war,peperangan
warm,hangat
warn,memberi amaran
warning,Amaran
wash,Basuh
waste,membazir
watch,menonton
water,air
wave,gelombang
way,cara
we,kita
weak,lemah
wealth,kekayaan
wealthy,kaya
weapon,senjata
wear,memakai
weather,cuaca
wedding,perkahwinan
week,minggu
weekend,hujung minggu
weekly,setiap minggu
weigh,berat badan
weight,Berat
welcome,Selamat datang
welfare,kebajikan
well,baik
west,barat
western,Barat
wet,basah
what,apa
whatever,apa-apa sahajalah
wheel,roda
when,bila
whenever,bila-bila masa
where,di mana sahaja
whereas,Manakala
whether,sama ada
which,yang
while,sementara
whisper,berbisik
white,putih
who,who
whole,keseluruhan
whom,siapa
whose,yang
why,Kenapa
wide,luas
widely,meluas
widespread,meluas
wife,isteri
wild,liar
will,akan
willing,sanggup
win,menang
wind,angin
window,tingkap
wine,wain.
wing,Wing.
winner,pemenang
winter,musim sejuk
wipe,wipe.
wire,wayar
wisdom,WISDOM
wise,bijak
wish,ingin
with,dengan
withdraw,menarik balik
within,dalam
without,tanpa
witness,saksi
woman,wanita
wonder,keajaiban
wonderful,indah
wood,kayu
wooden,kayu
word,perkataan
work,kerja
worker,pekerja
working,bekerja
works,kerja-kerja
workshop,bengkel
world,dunia
worried,bimbang
worry,bimbang
worth,bernilai
would,akan
wrap,bungkus
write,tulis
writer,penulis
writing,menulis
wrong,salah
yard,Yard.
yeah,Yeah
year,tahun
yell,berteriak
yellow,kuning
yes,Ya
yesterday,semalam
yet,Namun
yield,hasil
you,anda
young,muda
your,anda
yours,anda
yourself,diri sendiri
youth,belia
zone,Kawasan
